title,state,date,season,precip_type,number,temperature,dew_point,humidity,visibility,uv_index
Report 28012: Hunter observes a huge figure scaling a steep hillside in just moments near Clairton,Pennsylvania,1988-08-16,Winter,NA,28012,81.785,63.07,0.62,8.9,7
NA,Pennsylvania,NA,Fall,NA,105,NA,NA,NA,NA,NA
Report 13714: Daylight sighting behind business near Allison Park,Pennsylvania,2006-01-30,Winter,rain,13714,43.125,37.04,0.68,10,3
Report 19589: Dawn sighting by hunter within 2 miles of boundary of Pittsburgh International Airport,Pennsylvania,2007-07-22,Fall,NA,19589,66.985,49.1,0.55,8.58,9
Report 15306: Young Woman Observes Large Biped in a Field east of Pittsburgh,Pennsylvania,2007-11-03,Summer,NA,15306,45.025,30.15,0.66,10,3
Report 14707: Man recalls childhood sighting near Allison Park,Pennsylvania,2008-01-27,Fall,snow,14707,25.655,25.26,0.85,3.96,2
NA,Pennsylvania,NA,Winter,NA,34485,NA,NA,NA,NA,NA
"Report 65880: ""Ohio howls"" heard not far from where recording was obtained in 1994",Pennsylvania,2020-04-11,Spring,rain,65880,46.85,28.89,0.59,10,6
NA,Pennsylvania,NA,Summer,NA,2932,NA,NA,NA,NA,NA
Report 19170: Woman describes sighting in teen years in Tohicken Valley Park,Pennsylvania,2007-09-17,Summer,NA,19170,57.14,43.55,0.67,10,7
Report 21962: Bow Hunter Encounters Strange Creature near Argus,Pennsylvania,2007-10-24,Fall,rain,21962,56.785,59.1,0.94,9.01,3
Report 44445: Man has late night road crossing encounter outside Levittown,Pennsylvania,2014-02-25,Winter,NA,44445,28.494999999999997,14.61,0.57,9.76,3
NA,Pennsylvania,NA,Winter,NA,3551,NA,NA,NA,NA,NA
Report 48575: Fisherman on Lake Arthur startled by series of possible wood knocks and rock clacks,Pennsylvania,2015-05-01,Spring,rain,48575,52.995,43.38,0.7,6.99,8
"Report 70716: Knocks and responses heard near Muskrat Cove campground, Moraine State Park",Pennsylvania,2016-08-15,Summer,rain,70716,74.11,71.02,0.94,7.104,5
NA,Pennsylvania,NA,Spring,NA,1214,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Spring,NA,208,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Summer,NA,7137,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Winter,NA,2803,NA,NA,NA,NA,NA
Report 26957: Pre-dawn whoops and movement heard near Prince Galitzin State Park,Pennsylvania,2009-11-30,Winter,rain,26957,39.975,34.71,0.74,9.81,2
Report 28580: Objects thrown and banging on a cabin east of Jericho,Pennsylvania,2008-10-16,Fall,rain,28580,52.47,52.2,0.85,7.31,3
NA,Pennsylvania,NA,Summer,NA,3556,NA,NA,NA,NA,NA
Report 10632: Young boy observes animal chasing family horses,Pennsylvania,1978-08-21,Summer,NA,10632,63.27,49.6,0.63,10,9
NA,Pennsylvania,NA,Fall,NA,2784,NA,NA,NA,NA,NA
Report 24731: Brief sighting by motorist on Rt. 80 just west of the town of Clearfield,Pennsylvania,2008-09-13,Summer,rain,24731,70.27,66.24,0.94,4.96,5
NA,Pennsylvania,NA,Spring,NA,42051,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Spring,NA,3558,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Fall,NA,3560,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Winter,NA,3840,NA,NA,NA,NA,NA
Report 10251: Hunters hear loud vocalization and breaking branches,Pennsylvania,2003-09-30,Summer,rain,10251,51.305,40.1,0.73,8.45,4
NA,Pennsylvania,NA,Fall,NA,3634,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Spring,NA,4709,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Spring,NA,3866,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Summer,NA,3561,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Summer,NA,3562,NA,NA,NA,NA,NA
Report 9607: Thirteen year old boy has afternoon sighting while playing.,Pennsylvania,1994-10-15,Fall,rain,9607,56.254999999999995,39.47,0.57,10,5
NA,Pennsylvania,NA,Summer,NA,3563,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Fall,NA,2898,NA,NA,NA,NA,NA
Report 15923: Daylight sighting by mountain biker in Black Hut Management Area outside Glendale,Rhode Island,1998-10-15,Fall,NA,15923,51.32,44.67,0.79,9.19,3
"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",Alaska,2004-06-18,Summer,NA,9317,70.275,43.18,0.39,10,6
Report 2917: Family observes large biped from car,Alaska,1995-05-15,Spring,rain,2917,48.595,42.15,0.78,NA,5
NA,Alaska,NA,Fall,NA,1260,NA,NA,NA,NA,NA
NA,Alaska,NA,Fall,NA,1259,NA,NA,NA,NA,NA
NA,Alaska,NA,Fall,NA,1256,NA,NA,NA,NA,NA
Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Alaska,2000-06-16,Summer,rain,637,NA,42.75,0.78,NA,4
Report 11616: Fishermen find footprints east of Egegik.,Alaska,2004-07-20,Summer,NA,11616,NA,NA,NA,NA,NA
Report 8792: Four nocturnal hikers get pelted with snow near Anchorage,Alaska,2003-12-12,Winter,snow,8792,21.3,20.83,0.94,9.88,0
Report 17035: Wood knocks heard by hunter outside Camden,Alabama,2007-08-06,Winter,NA,17035,86.96000000000001,72.99,0.69,NA,0
"Report 961: Motorist confronted by hairy, man-like creature on roadside",Alabama,1997-01-06,Winter,NA,961,NA,NA,NA,NA,NA
Report 43217: Memory of 3 hairy fingers sliding under the front door outside Nauvoo,Alabama,1988-07-15,Summer,NA,43217,NA,NA,NA,NA,NA
"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",Alabama,1999-07-15,Summer,rain,245,78.44,70.47,0.8,7.54,10
Report 44487: Memory told of a close dalylight observation outside Alexander City,Alabama,2014-03-30,Summer,NA,44487,53.290000000000006,36.38,0.55,10,9
Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,Alabama,1999-11-23,Fall,rain,25238,63.565,56.6,0.83,6.56,3
Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,Alabama,2000-07-15,Summer,NA,1419,78.475,64.68,0.66,8.25,11
Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,Alabama,2007-04-22,Summer,NA,17480,62.004999999999995,43.02,0.57,NA,10
Report 45498: Strange occurrences are ongoing at a rural home outside Talladega,Alabama,2014-07-27,Summer,NA,45498,84.86,71.57,0.77,9.3,8
Report 7031: Lady sees large hairy creature on the side of the road,Alabama,2003-06-28,Summer,NA,7031,77.57,69.9,0.83,10,8
Report 6938: Tracks and feces found in freshly turned field,Alabama,2003-08-30,Summer,rain,6938,81.03,73.43,0.85,9.65,9
Report 35339: Unexplained happenings on a farm outside Tuscaloosa,Alabama,2012-03-15,Spring,NA,35339,69.83,58.54,0.74,6.82,8
Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Alabama,2014-12-27,Spring,rain,44849,54.065,47.68,0.9,7.98,2
Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Alabama,1990-05-15,Spring,NA,27480,NA,NA,NA,NA,NA
Report 1022: Hunters observe creature walking in the woods,Alabama,1990-09-15,Fall,NA,1022,NA,NA,NA,NA,NA
Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,Alabama,2010-03-12,Spring,rain,27459,53.599999999999994,46.62,0.73,8.85,7
Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Alabama,2008-02-15,Winter,NA,37038,58.025000000000006,47.13,0.77,NA,0
Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,Alabama,2020-04-16,Spring,rain,65679,61.129999999999995,36.82,0.48,10,10
"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",Alaska,2004-02-15,Winter,NA,13038,18.665,17.35,0.84,9.77,1
NA,Alaska,NA,Fall,NA,1255,NA,NA,NA,NA,NA
NA,Alaska,NA,Summer,NA,1258,NA,NA,NA,NA,NA
NA,Alaska,NA,Fall,NA,1995,NA,NA,NA,NA,NA
NA,Alaska,NA,Spring,NA,1257,NA,NA,NA,NA,NA
Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,Alaska,2009-07-15,Summer,rain,26604,54.37,52.49,0.73,5.73,4
NA,Alaska,NA,Fall,NA,597,NA,NA,NA,NA,NA
Report 8797: Two boys find footprints on Harris River bank,Alaska,2001-05-13,Spring,rain,8797,45.035,36.98,0.79,9.17,4
Report 7963: Sasquatch walks past window of house at night,Alaska,2004-02-09,Winter,rain,7963,43.489999999999995,41.51,0.92,6.29,1
Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Alaska,2008-04-23,Spring,NA,23666,41.129999999999995,24.05,0.5,10,4
Report 25442: Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken,Alaska,2008-08-20,Fall,NA,25442,45.17,31.98,0.56,NA,0
Report 30906: Early morning sighting by a motorist along Route 6 near Foster,Rhode Island,2011-11-15,Spring,NA,30906,58.095,51.9,0.79,9.97,2
"Report 12951: Possible encounter between a juvenile and a human child, near Gettysburg",Pennsylvania,1961-07-01,Summer,NA,12951,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Summer,NA,571,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Summer,NA,3541,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Fall,NA,3542,NA,NA,NA,NA,NA
NA,Pennsylvania,NA,Winter,NA,3360,NA,NA,NA,NA,NA
Report 8679: Adult recalls childhood sighting at dusk near Moody,Alabama,2004-09-30,Fall,NA,8679,66.605,51.38,0.69,9.21,7
Report 8171: Nighttime Sighting on County Road,Alabama,2004-05-09,Winter,NA,8171,78.525,58.77,0.61,9.4,10
"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Alabama,1981-09-15,Fall,rain,179,78.455,69.27,0.89,5.56,7
Report 15473: Possible stalking on mountain outside Troy,Alabama,2007-08-26,Spring,rain,15473,82.00999999999999,70.17,0.8,7.5,10
"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Alabama,1980-11-15,Fall,NA,832,NA,NA,NA,NA,NA
Report 3028: Daylight sighting by lady while her husband was clearing trees,Alabama,2000-06-01,Summer,NA,3028,74.185,59.18,0.62,9.45,10
NA,Alabama,NA,Winter,NA,40542,NA,NA,NA,NA,NA
Report 17168: Nighttime sighting by motorists outside Grand Bay,Alabama,2007-02-04,Summer,NA,17168,47.035,33.71,0.71,9.92,5
Report 18043: Evening sighting by family driving by Guntersville Lake,Alabama,1992-08-15,Summer,rain,18043,65.885,61.13,0.82,8.66,10
Report 416: A resident's early evening sighting next to his home near New Market,Alabama,1983-11-15,Winter,rain,416,48.27,43.82,0.74,7.28,3
Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Alabama,2007-05-19,Winter,NA,17455,64.77,42.55,0.45,10,11
Report 24646: Early morning sighting by a fisherman south of Montgomery,Alabama,2001-04-13,Spring,rain,24646,71.44,69.63,0.84,8.65,6
"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",Alabama,1978-04-15,Spring,NA,799,59.2,42.34,0.55,9.91,5
Report 18033: Possible stalking of couple parked at power line cut outside Opelika,Alabama,2002-05-30,Spring,rain,18033,72.515,64.15,0.76,9.21,9
Report 28326: Recollection of seeing a hair covered creature squatting next to a road near Waterloo,Alabama,2008-04-15,Spring,NA,28326,47.925,31.19,0.59,9.17,9
Report 35475: Daylight road crossing near Vernon,Alabama,2012-05-21,Summer,rain,35475,70.72,64.35,0.82,9.74,9
Report 10498: Hiker has daylight sighting near Warrior.,Alabama,1979-09-15,Fall,rain,10498,68.66,58.11,0.77,7.83,8
Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Alabama,2013-10-02,Spring,NA,43689,73.745,64.53,0.8,9.68,7
Report 7427: Four youths have harrowing experience in Alabama backwoods.,Alabama,2003-11-26,Winter,NA,7427,57.605,36.96,0.64,9.99,4
Report 18376: Couple reports possible stalking near abandoned rural graveyard outside town of Valley,Alabama,2007-01-30,Winter,NA,18376,39.03,21.13,0.49,10,3
Report 451: Young man has sighting near home,Alabama,1993-08-20,Summer,rain,451,81.64,74.23,0.83,5.52,7
Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights,Alabama,2001-10-15,Fall,NA,3296,59.66,47.95,0.71,10,6
Report 15597: Possible vocalizations reported near Tanner,Alabama,2006-09-22,Summer,rain,15597,78.065,64.73,0.76,9.31,5
Report 7235: Recollection of an afternoon sighting on Green Mountain,Alabama,2004-05-28,Summer,rain,7235,69.615,66.6,0.85,8.62,6
Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,Alabama,2009-02-24,Winter,rain,25559,47.815,22.84,0.51,10,5
Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,Alabama,2000-10-10,Fall,NA,435,48.85000000000001,26.19,0.51,10,6
Report 25111: Ohio howl type vocalizations for several hours in early morning near Lacey's Spring,Alabama,2008-11-28,Fall,rain,25111,54.29,44,0.76,8.13,3
Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,Alabama,2012-08-15,Summer,NA,39383,75.03,68.64,0.85,7.71,9
Report 40417: Nighttime encounters close to home near Morgan,Alabama,2013-03-16,Winter,NA,40417,63.265,45.57,0.54,10,7
Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Alabama,2007-09-01,Summer,NA,5954,80.435,NA,NA,NA,0
Report 10501: Hikers find footprints near Pell City.,Alabama,2005-02-05,Winter,NA,10501,52.17,32.02,0.57,9.37,4
Report 22539: Roadside Sighting near Moody,Alabama,2007-07-18,Summer,NA,22539,78.9,70.64,0.8,9.79,8
Report 38022: Large black figure seen on a ridgeline near Hytop,Alabama,2012-12-01,Winter,NA,38022,55.555,43.92,0.81,6.07,3
Report 46746: Nighttime sighting by a motorist west of Newville,Alabama,2014-09-17,Summer,NA,46746,78.525,71.2,0.82,9.34,7
Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,Alabama,2006-07-06,Winter,rain,15102,77.8,71.25,0.8,7.42,6
Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,Alabama,2012-11-01,Fall,NA,37094,51.260000000000005,26.2,0.51,9.8,5
Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,Alabama,1983-10-14,Fall,rain,33307,61.145,44.42,0.63,7,4
Report 22899: Possible daylight encounter on Fort Rucker Army Base,Alabama,2008-01-19,Spring,rain,22899,34.35,37.73,0.9,6.19,3
Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,Alabama,2013-01-23,Winter,NA,40912,46.995000000000005,29.27,0.58,10,4
Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Alabama,1978-10-10,Fall,NA,35293,NA,NA,NA,NA,NA
Report 577: Man has repeated visits at family farm,Alabama,1999-11-15,Fall,NA,577,48.795,29.62,0.43,10,4
Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Alabama,2013-01-28,Winter,NA,47975,66.83500000000001,55.4,0.79,9.6,4
Report 273: Husband and wife hear scream while fishing,Alabama,1994-09-15,Fall,rain,273,76.65,63.62,0.79,5.77,7
Report 22969: Camper Awakened by Loud Wood Knocks in Talladega National Forrest,Alabama,2008-01-19,Winter,snow,22969,25.28,26.21,0.75,9.06,3
"Report 1907: Motorist sees Bigfoot like creature, hears scream",Alabama,1996-12-05,Winter,NA,1907,NA,NA,NA,NA,NA
Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Alabama,2014-06-17,Summer,NA,45464,80.33,69.84,0.78,7.75,9
Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Alabama,2000-05-13,Spring,rain,26886,NA,63.84,0.51,6.93,8
Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Alabama,2013-10-15,Fall,NA,42939,67.1,61.3,0.86,9.35,4
Report 43402: Possible ongoing activty in a rural community near Chance,Alabama,2002-09-16,Fall,rain,43402,81.6,72.53,0.86,NA,0
Report 24451: Two friends have a possible nighttime sighting on a rural road outside Madison,Alabama,2008-08-31,Fall,rain,24451,79.645,72.67,0.85,9.16,7
NA,Alabama,NA,Summer,NA,49238,NA,NA,NA,NA,NA
Report 42692: Daytime road crossing seen near Ashland,Alabama,2013-11-10,Fall,NA,42692,54.11,44.97,0.71,10,4
Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,Alabama,2020-06-15,Summer,rain,67423,69.03,60.27,0.74,10,9
Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,Alabama,2005-01-12,Winter,rain,27568,64.325,58.97,0.81,9.08,2
NA,Alabama,NA,Fall,NA,44386,NA,NA,NA,NA,NA
Report 4743: Nighttime sighting by two teens in southern Conecuh County,Alabama,2000-02-10,Winter,rain,4743,62.885,41.93,0.72,7.89,5
NA,Alabama,NA,Summer,NA,42329,NA,NA,NA,NA,NA
Report 8635: Possible repeat approaches to a rural residence at night outside OPP,Alabama,2007-09-12,Spring,rain,8635,82.515,72.47,0.8,8.28,7
Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Alabama,2014-06-09,Summer,rain,45296,74.54,68.33,0.86,8.08,11
Report 34224: Possible late night encounter outside a home near Pinckard,Alabama,2011-04-01,Spring,NA,34224,63.93,44.46,0.65,9.5,9
Report 14082: Daylight road crossing sighting near Orrville,Alabama,2006-09-10,Summer,NA,14082,78.92,NA,NA,NA,0
Report 39620: Motorist has two possible sightings on the Appalachian Hwy. near Gadsden,Alabama,2013-01-27,Winter,NA,39620,50.935,35.01,0.59,10,3
NA,Alabama,NA,Winter,NA,25619,NA,NA,NA,NA,NA
"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Alabama,2014-12-31,Summer,NA,44986,41.845,43.73,0.92,9.67,2
Report 44479: Possible encounter while fishing Lake Guntersville at night,Alabama,2013-08-24,Summer,NA,44479,75.51499999999999,69.08,0.79,8.33,7
Report 1830: Two separate sighting reports of a creature,Alabama,1975-08-25,Summer,rain,1830,85.3,72.5,0.7,9.62,8
Report 21714: Rescue workers describes possible stalking on the Cahaba River outside Montevallo,Alabama,2007-09-12,Summer,rain,21714,76.27000000000001,69.89,0.83,5.15,6
Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Alabama,1980-01-12,Winter,NA,27067,NA,NA,NA,NA,NA
Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,Alabama,1979-09-14,Summer,NA,26513,75.61,66.53,0.72,7.1,5
Report 1783: Night hunters hear strange screams in the woods,Alabama,1985-08-15,Unknown,rain,1783,80.52,71.61,0.82,6.98,5
Report 71896: LAST SUNDAY: Possible road crossing sighting of a sasquatch 5 miles NE of Gulf Shores,Alabama,2021-11-21,Fall,rain,71896,67.09,60.08,0.86,9.874,4
Report 8921: Possible daylight sighting near freeway outside Birmingham,Alabama,2006-06-03,Fall,rain,8921,68.33,61.63,0.73,8.46,8
Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Alabama,2014-01-14,Summer,rain,50178,48.01,39.26,0.73,9.54,3
NA,Alabama,NA,Fall,NA,43963,NA,NA,NA,NA,NA
NA,Wyoming,NA,Summer,NA,798,NA,NA,NA,NA,NA
Report 13237: Daylight sighting near an abandonned mining chamber near Amigo,West Virginia,2005-12-03,Winter,rain,13237,35.075,18.87,0.64,9.41,2
"Report 13285: Evening sighting by motorists on Tyson Road, off Route 100, outside Ludlow",Vermont,2005-10-08,Fall,rain,13285,51.334999999999994,52.08,0.98,4.73,3
"Report 2285: Boy sees ""Bigfoot"" in the woods while looking out the car window",Virginia,1984-04-08,Spring,rain,2285,50.76,28.22,0.48,8.75,5
Report 2048: Night time road crossing observation,Texas,1996-12-22,Winter,NA,2048,NA,NA,NA,NA,NA
Report 5173: Large bipedal animal frequently observed by a South Dakota family,South Dakota,2002-12-04,Fall,snow,5173,10.739999999999998,11.73,0.94,7.86,1
NA,South Carolina,NA,Fall,NA,977,NA,NA,NA,NA,NA
Report 13494: Sundown sighting near Tishomingo State Park,Mississippi,2006-01-05,Winter,NA,13494,42.36,33.98,0.73,NA,0
Report 59307: Broken trees and possible print found after swaying animal evades hunters near Grovespring,Missouri,2018-04-14,Spring,rain,59307,40.489999999999995,39.59,0.72,2.9,7
NA,Minnesota,NA,Summer,NA,1081,NA,NA,NA,NA,NA
Report 26196: Possible intimidation experienced by two bow hunters near Cadillac,Michigan,2000-10-01,Fall,rain,26196,68.845,50.41,0.59,10,5
NA,Maine,NA,Spring,NA,883,NA,NA,NA,NA,NA
Report 51005: Trail camera captures unknown creature on hunting property near Burnham,Maine,2016-01-30,Fall,snow,51005,33.83,25.51,0.8,9.62,2
NA,Maine,NA,Summer,NA,1190,NA,NA,NA,NA,NA
Report 51991: Possible track way found in the snow hear Hollis,Maine,2016-02-27,Winter,NA,51991,33.065,9.39,0.52,10,4
Report 56798: Possible track way found in the snow in Vaughn Woods State Park east of Dover,Maine,2017-02-14,Winter,snow,56798,26.18,16.07,0.74,9.94,3
Report 45572: Teens shining for deer have a scary encounter near Kingsley,Michigan,2000-10-21,Fall,rain,45572,46.765,39.37,0.73,8.3,3
Report 24695: Disoriented coon hunter is followed out of the woods and experiences possible intimidation near Buckley,Michigan,2008-09-25,Fall,NA,24695,63.504999999999995,52.71,0.79,5.18,5
NA,Michigan,NA,Summer,NA,29633,NA,NA,NA,NA,NA
Report 66158: Motorist's daylight sighting in farmlands 45 miles northeast of Springfield,Missouri,2020-10-05,Fall,rain,66158,57.64,37.79,0.61,10,6
Report 39764: Possible night screams heard near Burnsville,Mississippi,2013-02-16,Winter,NA,39764,30.32,17.96,0.55,NA,0
NA,Tennessee,NA,Winter,NA,882,NA,NA,NA,NA,NA
Report 24799: Hunter hears loud uknown vocalizations near Greenvale,Tennessee,2008-10-27,Fall,NA,24799,43.125,24.81,0.43,10,4
Report 28005: Two witnesses recount a close daytime encounter with a very curious creature near Lebanon,Tennessee,2010-07-16,Summer,rain,28005,83.86,73.56,0.77,9.87,9
NA,Tennessee,NA,Fall,NA,30863,NA,NA,NA,NA,NA
Report 8376: Hog hunter encounters unknown animal near Sabine River.,Texas,2004-03-25,Winter,NA,8376,72.75,60.25,0.77,8.79,4
"Report 14638: Woman describes husband's daytime sighting on ranch near Quitman, TX.",Texas,2006-02-01,Spring,rain,14638,60.504999999999995,50.11,0.73,9.48,3
Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,Utah,1962-05-01,Spring,rain,9962,49.765,21.82,0.38,10,5
NA,Utah,NA,Fall,NA,2347,NA,NA,NA,NA,NA
NA,Utah,NA,Fall,NA,5929,NA,NA,NA,NA,NA
NA,Utah,NA,Fall,NA,5813,NA,NA,NA,NA,NA
NA,Utah,NA,Fall,NA,2349,NA,NA,NA,NA,NA
Report 21613: Grandson relates grandparents' accounts in the Wasatch-Cache National Forest,Utah,2007-08-31,Fall,NA,21613,66.98,48.44,0.48,10,8
Report 15107: Possible vocalizations heard by a farmer near Max Meadows,Virginia,2003-10-23,Fall,rain,15107,41.02,31.17,0.59,10,3
Report 35981: Possible encounter behind a fish hatchery near Fort Chiswell,Virginia,2011-06-10,Summer,rain,35981,74.055,62.27,0.73,9.24,11
Report 62744: Couple saw a juvenile Bigfoot jumping a fence.,Virginia,2019-04-10,Spring,NA,62744,57.965,33.13,0.45,9.997,9
Report 49902: Possible footprints found by a hiker on Mt. Ascutney,Vermont,2015-05-24,Spring,NA,49902,62.065,37.31,0.49,10,10
Report 1043: Mother relates story of daughter sighting a large animal near Mill A School,Washington,1950-05-01,Spring,rain,1043,40.305,40.33,0.86,10,4
Report 1644: Witness saw something he felt confident few men had ever seen,Washington,1967-10-18,Fall,NA,1644,NA,NA,NA,NA,NA
Report 1621: Fisherman witnesses bigfoot cross the road in front of his car,Washington,1969-03-05,Winter,rain,1621,NA,37.91,0.96,8.62,3
Report 1620: Family on vacation find tracks in an isolated area.,Washington,1969-03-09,Winter,NA,1620,NA,NA,NA,NA,NA
Report 1645: Witness observed creature walking up a hill,Washington,1971-08-27,Summer,NA,1645,NA,NA,NA,NA,NA
"Report 1652: Multiple witness incident on the western slope of Silver Star Mt., near Pyramid Rock",Washington,1972-05-22,Spring,rain,1652,NA,42.74,0.93,10,5
"Report 1651: Daylight observation from Beacon Rock, along the Columbia River",Washington,1978-04-29,Spring,NA,1651,54.754999999999995,38.66,0.65,9.7,8
Report 1707: Department of Natural Resources tree-planting crew views two animals walking upright near Home Valley,Washington,1980-04-15,Spring,rain,1707,NA,38.35,0.49,10,7
Report 40371: Memory told of a daylight sighting at a golf course in North Bonneville,Washington,1985-06-08,Summer,NA,40371,62.78999999999999,46.37,0.65,9.55,8
Report 270: Campers awakened by late-night visitor in the Indian Heaven Wilderness,Washington,1985-07-01,Summer,NA,270,NA,NA,NA,NA,NA
Report 889: Climber has night-time sighting near Mt. Adams wilderness,Washington,1991-07-15,Summer,NA,889,NA,NA,NA,NA,NA
Report 10470: Campers find footprint in Indian Heaven Wilderness,Washington,1993-08-02,Summer,NA,10470,NA,NA,NA,NA,NA
Report 9863: Hiking couple hears calls and finds footprints near Mt. Adams,Washington,1997-05-15,Spring,NA,9863,NA,NA,NA,NA,NA
Report 59099: Memory told of hearing a possible vocalization from a tent during noon storm at Goose Lake,Washington,1997-06-15,Summer,NA,59099,NA,NA,NA,NA,NA
Report 1650: Creature seen by witnesses at the bottom of the hill,Washington,1997-11-20,Fall,NA,1650,NA,NA,NA,NA,NA
Report 1647: Witness heard what sounded like sticks being beaten on wood,Washington,1998-06-18,Unknown,NA,1647,NA,NA,NA,NA,NA
Report 1766: Family finds track and scat pile while hiking southeast of Mt. St. Helens,Washington,1998-08-27,Summer,NA,1766,NA,NA,NA,NA,NA
Report 3800: Bowhunters find track and hear vocalizations near Indian Heaven Wilderness,Washington,1999-09-06,Fall,NA,3800,NA,NA,NA,NA,NA
Report 4779: Large animal lures men away from possible younger animal near Mt. St. Helens,Washington,1999-10-20,Winter,NA,4779,NA,NA,NA,NA,NA
Report 3786: Bow hunters find footprint and hear vocalizations near Indian Heaven Wilderness,Washington,2000-09-15,Summer,NA,3786,NA,NA,NA,NA,NA
NA,Washington,NA,Fall,NA,1705,NA,NA,NA,NA,NA
Report 1904: Mountain climbers hear loud scream on Mount St. Helens,Washington,2001-03-04,Winter,NA,1904,NA,NA,NA,NA,NA
Report 3024: Campers hear vocalizations and find possible prints near Skookum Meadow,Washington,2001-08-11,Summer,NA,3024,NA,NA,NA,NA,NA
"Report 3188: Spelunkers hear loud, garbled howls on consecutive nights near Trout Lake",Washington,2001-08-15,Summer,NA,3188,NA,NA,NA,NA,NA
"Report 4738: Fishermen encounter upright, slender animal near Lone Butte",Washington,2002-08-03,Summer,rain,4738,62.955,44.48,0.55,10,9
Report 5176: Several sets of tracks found near Skookum Meadows,Washington,2002-10-20,Fall,rain,5176,52.254999999999995,49.88,0.89,NA,0
Report 6559: Multiple screams heard,Washington,2003-06-25,Summer,NA,6559,64.075,40.67,0.56,NA,0
NA,Washington,NA,Summer,NA,9944,NA,NA,NA,NA,NA
Report 10646: Elk hunter hears loud screams at night near Deadman's Lake,Washington,2004-09-15,Fall,rain,10646,43.435,43.44,1,NA,0
NA,Washington,NA,Winter,NA,9005,NA,NA,NA,NA,NA
Report 8339: Couple has sighting of something standing on a gravel road,Washington,2004-11-08,Summer,NA,8339,46.065,34.28,0.61,NA,0
Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,Washington,2004-11-29,Winter,snow,9946,34.675000000000004,NA,NA,NA,1
